site.names,lon,lat,pre-settlement (sample #),"certainty (3=high, 1=low)",notes
Basin Pond,-70.05,44.47,22,2,
Belmont Bog,-77.916667,42.25,7,2,
Berry Pond,-73.316667,42.5,4,3,
Big Pond,-78.55,39.766667,4,2,
Boundary Pond,-70.675,45.566667,6,3,
Brandreth Bog,-74.683333,43.916667,11,1,
Burden Lake,-73.566667,42.604167,2,1,
Carbuncle Pond,-71.783333,41.7,11,3,
Caribou Bog,-68.77344,44.93672,2,3,
Clear Pond,-74.016955,43.748575,7,3,
Conroy Lake,-67.883333,46.283333,25,3,
Crider's Pond,-77.55,39.966667,4,1,
Deer Lake Bog,-71.833333,44.033333,4,3,
Donut Pond Bog,-70.058333,41.275,12,2,
Duck Pond,-70.0005,41.9327,8,2,
Eagle Lake Bog,-71.666667,44.166667,4,3,
Ely Lake,-75.833333,41.766667,6,3,
First Pond,-75.026667,41.135278,17,1,
Forge Pond,-74.399167,40.855833,12,1,
Fresh Pond,-71.575,41.158333,8,3,
Giles Lake,-75.093333,41.376111,17,2,
Gould Pond,-69.316667,44.983333,11,3,
Gould's Bog,-72.183333,42.533333,7,2,
Green Pond,-74.49534,41.005055,15,2,
Greenwater Pond,-73.316667,42.283333,5,2,
Hawley Bog Pond-1,-72.883333,42.566667,6,1,
Helmetta Bog,-74.433333,40.383333,5,2,
Houghton Bog,-78.670278,42.541667,8,3,
Kinsman Pond,-71.733333,44.133333,7,3,
Lake Lacawac,-75.292778,41.381944,26,3,
Lonesome Lake,-71.701111,44.14,4,1,
Longswamp,-75.666667,40.483333,5,3,
Loon Pond,-68.2,45.033333,5,2,
Lost Pond,-71.251389,44.246944,6,3,
Mansell Pond,-68.733333,45.041667,21,3,
Mashapaug Pond,-71.433333,41.783333,30,3,
Monhegan Island Meadow,-69.3,43.766667,4,2,
Moulton Pond,-68.639167,44.6275,4,3,
No Bottom Pond,-70.208333,41.283333,11,2,
North Pond,-73.05,42.65,3,3,
"Lake Ontario, Rochester Basin",-76.9,43.51,10,3,
"Lake Ontario, Mississauga Basin",-78.15,43.556667,21,3,
Panther Run Pond,-77.416667,40.8,3,2,
Pasacaco Pond,-71.45,41.516667,36,3,
Poland Spring Pond,-70.35,44.033333,6,2,
Protection Bog,-78.466667,42.622222,11,3,
Rogers Lake,-72.29915,41.3525,5,2,
Rose Lake,-77.925,41.916667,2,1,
Ross Pond,-69.410278,43.921389,3,1,
Silver Lake,-74.98612,41.25182,17,3,
Sinkhole Pond,-70.35,43.966667,6,2,
Spring Lake,-76.35,41.673889,4,2,
Spruce Pond,-74.1833,41.23687,13,3,
Stockbridge Bowl,-73.15,42.333333,6,1,
Sutherland Pond,-74.037778,41.391389,7,2,
Swartswood Lake,-74.83698,41.072335,14,3,
Szabo Pond,-74.483333,40.4,5,2,
Tannersville Bog,-75.266667,41.033333,7,2,
Taupawshas Bog,-70.058333,41.275,8,3,
Titicut Swamp,-71.033333,41.95,8,3,
Unknown Pond,-70.633333,45.6,4,2,
Upper South Branch Pond,-68.9,46.083333,11,3,
Valhalla Hollow,-74.370833,44.308611,12,2,
Windsor Pond,-72.980005,42.53693,5,1,
Winneconnet Pond,-71.116667,41.966667,7,2,
Woodcliff Lake,-74.03,41.02,,,no determination
Heart Lake,-73.9675,44.180556,3,3,
Mohawk Pond,-73.292685,41.81115,2,3,
Tom Swamp,-72.2125,42.516667,2,3,
Upper Wallface Pond,-74.054167,44.146389,,,no determination
Aino Pond,-71.926667,42.679722,36,2,
Dead Frog Pond,-72.508611,42.574444,16,2,
Hemlock Hollow,-72.178,42.5375,17,2,
Linsley Pond,-72.784335,41.317115,33,2,
Big Reed Pond Hollow,-69.0517,46.35065,5,1,
Blackwoods Hollow,-68.22364,44.313195,4,2,
Buckley Pond Hollow,-69.049415,46.334815,7,2,
Isle au Haut North Hollow,-68.6354,44.0651,11,2,
Isle au Haut South Hollow,-68.630365,44.031825,10,2,
Roque Island Hollow,-67.530695,44.573075,6,3,
Schoodic Peninsula Hollow,-68.0726,44.37328,8,2,
South Bog,-67.20294,44.717555,25,3,
Round Pond,-70.010335,41.97078,16,2,
Deep Pond,-69.992095,41.739125,23,2,
Icehouse Pond,-69.960575,41.797995,20,2,
Eagle Pond,-70.13606,41.6982,10,3,
Jemima Pond,-69.9847,41.82961,15,3,
Sandy Hill Pond,-70.36407,41.689985,9,2,
Fresh Pond,-70.532835,41.59412,17,2,
Makepeace Cedar Swamp,-70.75736,41.93619,4,2,
Makepeace Cedar Swamp,-70.75736,41.93619,7,1,
Makepeace Cedar Swamp,-70.75736,41.93619,2,1,
South Dansville Buried Peat,-77.641,42.49185,3,1,
Byron-Bergen Swamp (Site 2),-78.002715,43.09816,3,2,
Byron-Bergen Swamp (Site 1),-78.014515,43.09791,3,1,
Black Gum Swamp,-72.1829,42.5375,8,2,
Balsam Lake,-74.604205,42.028785,3,2,
Devil's Bathtub,-77.57376,43.02469,,,no determination
Goose Bay Marsh,-75.87042,44.351135,39,2,
Lily Pond,-72.34693,42.417875,21,2,
Prospect Hill II,-72.18,42.5625,15,2,
Prospect Hill VII,-72.18,42.5625,,,no determination
Slab City,-72.1775,42.508,19,1,
Slab City,-72.1775,42.508,19,3,
Tannersville Bog,-75.266667,41.033333,24,2,
Divers Lake,-78.399245,43.04099,11,2,
Ballston Lake,-73.85325,42.94975,7,2,
Hiscock Site,-78,43,11,2,
Green Pond,-72.5108,42.56705,15,1,
Lily Warwick,-72.337185,42.68839,42,2,
Little Mirror Lake,-71.60848,42.524435,27,2,
Otter Pond,-72.53319,42.65485,39,1,
Silver Lake,-72.22854,42.600775,26,2,
Binnewater Pond,-74.551335,41.40935,6,3,
Pawelski Farm,-74.43065,41.33395,,,no determination
Piermont Marsh,-73.908375,41.027635,38,2,
Lost Swamp,-72.4211,42.82814,13,2,
Lake Grinnell,-74.63963,41.098185,3,2,
Quag Pond,-71.95695,42.56725,23,2,
Little Bolton,-71.58735,42.4222,35,1,
Snake Pond,-72.016405,42.55585,22,2,
Lake Pleasant,-72.513,42.5604,20,1,
Round Pond,-72.70505,42.173985,,,no determination
