"","Site","Longitude","Latitude"
"1","Basin Pond",-70.05,44.47
"2","Boundary Pond",-70.67,45.57
"3","Caribou Bog",-68.77,44.94
"4","Conroy Lake",-67.88,46.28
"5","Gould Pond",-69.32,44.98
"6","Loon Pond",-68.2,45.03
"7","Mansell Pond",-68.73,45.04
"8","Monhegan Island Meadow",-69.3,43.77
"9","Moulton Pond",-68.64,44.63
"10","Poland Spring Pond",-70.35,44.03
"11","Ross Pond",-69.41,43.92
"12","Sinkhole Pond",-70.35,43.97
"13","Unknown Pond",-70.63,45.6
"14","Upper South Branch Pond",-68.9,46.08
"15","Big Reed Pond Hollow",-69.05,46.35
"16","Blackwoods Hollow",-68.22,44.31
"17","Buckley Pond Hollow",-69.05,46.33
"18","Isle au Haut North Hollow",-68.64,44.07
"19","Isle au Haut South Hollow",-68.63,44.03
"20","Roque Island Hollow",-67.53,44.57
"21","Schoodic Peninsula Hollow",-68.07,44.37
"22","South Bog",-67.2,44.72
"23","Deer Lake Bog",-71.83,44.03
"24","Eagle Lake Bog",-71.67,44.17
"25","Kinsman Pond",-71.73,44.13
"26","Lonesome Lake",-71.7,44.14
"27","Lost Pond",-71.25,44.25
"28","Lost Swamp",-72.42,42.83
"29","Belmont Bog",-77.92,42.25
"30","Brandreth Bog",-74.68,43.92
"31","Burden Lake",-73.57,42.6
"32","Clear Pond",-74.02,43.75
"33","West Sand Lake Peat Bog",-73.6,42.63
"34","Heart Lake",-73.97,44.18
"35","Upper Wallface Pond",-74.05,44.15
"36","Houghton Bog",-78.67,42.54
"37","Lake Ontario, Rochester Basin",-76.9,43.51
"38","Lake Ontario, Mississauga Basin",-78.15,43.56
"39","Protection Bog",-78.47,42.62
"40","Spruce Pond",-74.18,41.24
"41","Sutherland Pond",-74.04,41.39
"42","Valhalla Hollow",-74.37,44.31
"43","Hiscock Site",-78,43
"44","South Dansville Buried Peat",-77.64,42.49
"45","Byron-Bergen Swamp (Site 2)",-78,43.1
"46","Byron-Bergen Swamp (Site 1)",-78.01,43.1
"47","Balsam Lake",-74.6,42.03
"48","Devil's Bathtub",-77.57,43.02
"49","Goose Bay Marsh",-75.87,44.35
"50","Divers Lake",-78.4,43.04
"51","Ballston Lake",-73.85,42.95
"52","Binnewater Pond",-74.55,41.41
"53","Hyde Park",-73.9,41.79
"54","Otisville",-74.52,41.47
"55","Pawelski Farm",-74.43,41.33
"56","Piermont Marsh",-73.91,41.03
"57","Berry Pond",-73.32,42.5
"58","Tom Swamp",-72.21,42.52
"59","Donut Pond Bog",-70.06,41.27
"60","Duck Pond",-70,41.93
"61","Gould's Bog",-72.18,42.53
"62","Greenwater Pond",-73.32,42.28
"63","Hawley Bog Pond-1",-72.88,42.57
"64","No Bottom Pond",-70.21,41.28
"65","North Pond",-73.05,42.65
"66","Stockbridge Bowl",-73.15,42.33
"67","Taupawshas Bog",-70.06,41.27
"68","Titicut Swamp",-71.03,41.95
"69","Windsor Pond",-72.98,42.54
"70","Winneconnet Pond",-71.12,41.97
"71","Dead Frog Pond",-72.51,42.57
"72","Hemlock Hollow",-72.18,42.54
"73","Round Pond",-70.01,41.97
"74","Deep Pond",-69.99,41.74
"75","Icehouse Pond",-69.96,41.8
"76","Eagle Pond",-70.14,41.7
"77","Jemima Pond",-69.98,41.83
"78","Sandy Hill Pond",-70.36,41.69
"79","Fresh Pond",-70.53,41.59
"80","Makepeace Cedar Swamp",-70.76,41.94
"81","Makepeace Cedar Swamp",-70.76,41.94
"82","Makepeace Cedar Swamp",-70.76,41.94
"83","Black Gum Swamp",-72.18,42.54
"84","Lily Pond",-72.35,42.42
"85","Prospect Hill II",-72.18,42.56
"86","Prospect Hill VII",-72.18,42.56
"87","Slab City",-72.18,42.51
"88","Slab City",-72.18,42.51
"89","Green Pond",-72.51,42.57
"90","Lily Warwick",-72.34,42.69
"91","Little Mirror Lake",-71.61,42.52
"92","Otter Pond",-72.53,42.65
"93","Silver Lake",-72.23,42.6
"94","Quag Pond",-71.96,42.57
"95","Little Bolton",-71.59,42.42
"96","Snake Pond",-72.02,42.56
"97","Lake Pleasant",-72.51,42.56
"98","Round Pond",-72.71,42.17
"99","Carbuncle Pond",-71.78,41.7
"100","Fresh Pond",-71.58,41.16
"101","Mashapaug Pond",-71.43,41.78
"102","Pasacaco Pond",-71.45,41.52
"103","Mohawk Pond",-73.29,41.81
"104","Rogers Lake",-72.3,41.35
"105","Linsley Pond",-72.78,41.32
"106","Big Pond",-78.55,39.77
"107","Crider's Pond",-77.55,39.97
"108","Ely Lake",-75.83,41.77
"109","First Pond",-75.03,41.14
"110","Giles Lake",-75.09,41.38
"111","Lake Lacawac",-75.29,41.38
"112","Longswamp",-75.67,40.48
"113","Panther Run Pond",-77.42,40.8
"114","Rose Lake",-77.92,41.92
"115","Tannersville Bog",-75.27,41.03
"116","Tannersville Bog",-75.27,41.03
"117","Forge Pond",-74.4,40.86
"118","Green Pond",-74.5,41.01
"119","Helmetta Bog",-74.43,40.38
"120","Swartswood Lake",-74.84,41.07
"121","Szabo Pond",-74.48,40.4
"122","Woodcliff Lake",-74.03,41.02
"123","Lake Grinnell",-74.64,41.1
